"charity","country","ce","funding","date"
"AMF","DRC",10.25222632,1,2021-05-05
"AMF","Guinea",16.40873303,0,2021-05-05
"AMF","Togo",9.358997658,0,2021-05-05
"AMF","Uganda",17.23651964,0,2021-05-05
"AMF","Nigeria (PMI states)",14.81024663,0,2021-05-05
"Deworm the World","Kenya",32.371133,0.302539,2021-05-05
"Deworm the World","Pakistan",5.122114,0.356776,2021-05-05
"Deworm the World","Lagos, Nigeria",5.350531,0.042747,2021-05-05
"Deworm the World","Oyo, Nigeria",15.82412,0.102304,2021-05-05
"Deworm the World","Ogun, Nigeria",13.890978,0.095739,2021-05-05
"Deworm the World","Rivers, Nigeria",12.808556,0.099895,2021-05-05
"END Fund","Ethiopia",2.302702,0.358531,2021-05-05
"END Fund","Angola",22.998243,0.262297,2021-05-05
"END Fund","DRC",9.376165,0.20405,2021-05-05
"END Fund","Rwanda",6.964075,0.089639,2021-05-05
"END Fund","Zimbabwe",12.779081,0.085483,2021-05-05
"SCI Foundation","Overall",9.886273,0.499999750000125,2021-05-05
"SCI Foundation","Ethiopia",3.620048,0.117048941475529,2021-05-05
"SCI Foundation","DRC",27.797451,0.0365159817420091,2021-05-05
"SCI Foundation","Madagascar",29.883351,0.0657474671262664,2021-05-05
"SCI Foundation","Tanzania",6.286769,0.0830344584827707,2021-05-05
"SCI Foundation","Cote d'Ivoire",9.866912,0.0293544853227573,2021-05-05
"SCI Foundation","Uganda",-0.729003,0.0648259675870162,2021-05-05
"SCI Foundation","Liberia",12.80482,0.00626049686975156,2021-05-05
"SCI Foundation","Burundi",14.016898,0.0188174905912547,2021-05-05
"SCI Foundation","Zanzibar-Pemba",-0.448032,0.0019904990047505,2021-05-05
"SCI Foundation","Zanzibar-Unguja",-1.269465,0.00748349625825187,2021-05-05
"SCI Foundation","Sudan",5.023242,0.0475924762037619,2021-05-05
"SCI Foundation","Niger",1.424192,0.00664099667950166,2021-05-05
"SCI Foundation","Mauritania",29.883351,0.003997998001001,2021-05-05
"SCI Foundation","Malawi",6.892292,0.0106894946552527,2021-05-05
"Sightsavers","Senegal",3.50918,0.136792136792137,2021-05-05
"Sightsavers","Chad",14.137862,0.568127568127568,2021-05-05
"Sightsavers","DRC",1.529353,0.0172360172360172,2021-05-05
"Sightsavers","West, Cameroon",11.722136,0.0157560157560158,2021-05-05
"Sightsavers","North, Cameroon",23.676872,0.0255870255870256,2021-05-05
"Sightsavers","Far-North, Cameroon",18.25795,0.0338690338690339,2021-05-05
"Sightsavers","East, Cameroon",9.200641,0.0236000236000236,2021-05-05
"Sightsavers","Adamoua, Cameroon",10.973535,0.0229180229180229,2021-05-05
"Sightsavers","Benue State",12.575205,0.0416140416140416,2021-05-05
"Sightsavers","Kebbi State",54.549555,0.0291190291190291,2021-05-05
"Sightsavers","Kogi State",9.580111,0.0256310256310256,2021-05-05
"Sightsavers","Kwara State",44.33427,0.0202270202270202,2021-05-05
"Sightsavers","Sokoto State",45.438275,0.0276330276330276,2021-05-05
"Sightsavers","Taraba State",1.857213,0.0118900118900119,2021-05-05
"Malaria Consortium","Burkina Faso",14.67810231,0.147159925897057,2021-05-05
"Malaria Consortium","Chad",6.232289937,0.393854069592123,2021-05-05
"Malaria Consortium","Nigeria",10.18530797,0.424197893891516,2021-05-05
"Malaria Consortium","Togo",9.166821542,0.0347881106193042,2021-05-05
"Helen Keller International","Burkina Faso",23.12542651,0.0417958178454258,2021-05-05
"Helen Keller International","Cameroon",27.06196315,0.182437941532751,2021-05-05
"Helen Keller International","Côte d'Ivoire",14.15735348,0.0747308700220662,2021-05-05
"Helen Keller International","DRC",17.80837722,0.0151064469533983,2021-05-05
"Helen Keller International","Guinea",15.82311546,0.0256207873905644,2021-05-05
"Helen Keller International","Kenya",7.104552268,0.170873538808035,2021-05-05
"Helen Keller International","Mali",36.48620589,0.0419362696213209,2021-05-05
"Helen Keller International","Niger",79.28993285,0.0298415169933224,2021-05-05
"Helen Keller International","Nigeria",28.840238,0.417656810833116,2021-05-05
"New Incentives","Overall",10.8436357,1,2021-05-05
"AMF","DRC",12.71815539,1,2021-07-06
"AMF","Guinea",16.40873303,0,2021-07-06
"AMF","Togo",9.358997658,0,2021-07-06
"AMF","Uganda",17.23651964,0,2021-07-06
"AMF","Nigeria (PMI states)",14.81071163,0,2021-07-06
"Deworm the World","Kenya",32.371133,0.302539,2021-07-06
"Deworm the World","Pakistan",5.122114,0.356776,2021-07-06
"Deworm the World","Lagos, Nigeria",5.350531,0.042747,2021-07-06
"Deworm the World","Oyo, Nigeria",15.82412,0.102304,2021-07-06
"Deworm the World","Ogun, Nigeria",13.890978,0.095739,2021-07-06
"Deworm the World","Rivers, Nigeria",12.808556,0.099895,2021-07-06
"END Fund","Ethiopia",2.302702,0.358531,2021-07-06
"END Fund","Angola",22.998243,0.262297,2021-07-06
"END Fund","DRC",9.376165,0.20405,2021-07-06
"END Fund","Rwanda",6.964075,0.089639,2021-07-06
"END Fund","Zimbabwe",12.779081,0.085483,2021-07-06
"SCI Foundation","Overall",9.886273,0.499999750000125,2021-07-06
"SCI Foundation","Ethiopia",3.620048,0.117048941475529,2021-07-06
"SCI Foundation","DRC",27.797451,0.0365159817420091,2021-07-06
"SCI Foundation","Madagascar",29.883351,0.0657474671262664,2021-07-06
"SCI Foundation","Tanzania",6.286769,0.0830344584827707,2021-07-06
"SCI Foundation","Cote d'Ivoire",9.866912,0.0293544853227573,2021-07-06
"SCI Foundation","Uganda",-0.729003,0.0648259675870162,2021-07-06
"SCI Foundation","Liberia",12.80482,0.00626049686975156,2021-07-06
"SCI Foundation","Burundi",14.016898,0.0188174905912547,2021-07-06
"SCI Foundation","Zanzibar-Pemba",-0.448032,0.0019904990047505,2021-07-06
"SCI Foundation","Zanzibar-Unguja",-1.269465,0.00748349625825187,2021-07-06
"SCI Foundation","Sudan",5.023242,0.0475924762037619,2021-07-06
"SCI Foundation","Niger",1.424192,0.00664099667950166,2021-07-06
"SCI Foundation","Mauritania",29.883351,0.003997998001001,2021-07-06
"SCI Foundation","Malawi",6.892292,0.0106894946552527,2021-07-06
"Sightsavers","Senegal",3.50918,0.136792136792137,2021-07-06
"Sightsavers","Chad",14.137862,0.568127568127568,2021-07-06
"Sightsavers","DRC",1.529353,0.0172360172360172,2021-07-06
"Sightsavers","West, Cameroon",11.722136,0.0157560157560158,2021-07-06
"Sightsavers","North, Cameroon",23.676872,0.0255870255870256,2021-07-06
"Sightsavers","Far-North, Cameroon",18.25795,0.0338690338690339,2021-07-06
"Sightsavers","East, Cameroon",9.200641,0.0236000236000236,2021-07-06
"Sightsavers","Adamoua, Cameroon",10.973535,0.0229180229180229,2021-07-06
"Sightsavers","Benue State",12.575205,0.0416140416140416,2021-07-06
"Sightsavers","Kebbi State",54.549555,0.0291190291190291,2021-07-06
"Sightsavers","Kogi State",9.580111,0.0256310256310256,2021-07-06
"Sightsavers","Kwara State",44.33427,0.0202270202270202,2021-07-06
"Sightsavers","Sokoto State",45.438275,0.0276330276330276,2021-07-06
"Sightsavers","Taraba State",1.857213,0.0118900118900119,2021-07-06
"Malaria Consortium","Burkina Faso",14.67810231,0.0374381896481281,2021-07-06
"Malaria Consortium","Nigeria",10.18530797,0.267522960286624,2021-07-06
"Malaria Consortium","Togo",9.166821542,0,2021-07-06
"Malaria Consortium","Chad",6.232289937,0.695038850065248,2021-07-06
"Helen Keller International","Burkina Faso",23.12542651,0.0417958178454258,2021-07-06
"Helen Keller International","Cameroon",28.3603067,0.182437941532751,2021-07-06
"Helen Keller International","Côte d'Ivoire",14.15735348,0.0747308700220662,2021-07-06
"Helen Keller International","DRC",17.80837722,0.0151064469533983,2021-07-06
"Helen Keller International","Guinea",15.82311546,0.0256207873905644,2021-07-06
"Helen Keller International","Kenya",7.104552268,0.170873538808035,2021-07-06
"Helen Keller International","Mali",36.48620589,0.0419362696213209,2021-07-06
"Helen Keller International","Niger",79.28993285,0.0298415169933224,2021-07-06
"Helen Keller International","Nigeria",24.1439746,0.417656810833116,2021-07-06
"New Incentives","Overall",10.8436357,1,2021-07-06
"AMF","DRC",12.71815539,0.2,2021-09-28
"AMF","Guinea",16.40873303,0.2,2021-09-28
"AMF","Togo",9.358997658,0.2,2021-09-28
"AMF","Uganda",17.23651964,0.2,2021-09-28
"AMF","Nigeria (PMI states)",14.81071163,0.2,2021-09-28
"Deworm the World","Kenya",32.371133,0.302539,2021-09-28
"Deworm the World","Pakistan",5.122114,0.356776,2021-09-28
"Deworm the World","Lagos, Nigeria",5.350531,0.042747,2021-09-28
"Deworm the World","Oyo, Nigeria",15.82412,0.102304,2021-09-28
"Deworm the World","Ogun, Nigeria",13.890978,0.095739,2021-09-28
"Deworm the World","Rivers, Nigeria",12.808556,0.099895,2021-09-28
"END Fund","Ethiopia",2.302702,0.358531,2021-09-28
"END Fund","Angola",22.998243,0.262297,2021-09-28
"END Fund","DRC",9.376165,0.20405,2021-09-28
"END Fund","Rwanda",6.964075,0.089639,2021-09-28
"END Fund","Zimbabwe",12.779081,0.085483,2021-09-28
"SCI Foundation","Overall",9.886273,0.499999750000125,2021-09-28
"SCI Foundation","Ethiopia",3.620048,0.117048941475529,2021-09-28
"SCI Foundation","DRC",27.797451,0.0365159817420091,2021-09-28
"SCI Foundation","Madagascar",29.883351,0.0657474671262664,2021-09-28
"SCI Foundation","Tanzania",6.286769,0.0830344584827707,2021-09-28
"SCI Foundation","Cote d'Ivoire",9.866912,0.0293544853227573,2021-09-28
"SCI Foundation","Uganda",-0.729003,0.0648259675870162,2021-09-28
"SCI Foundation","Liberia",12.80482,0.00626049686975156,2021-09-28
"SCI Foundation","Burundi",14.016898,0.0188174905912547,2021-09-28
"SCI Foundation","Zanzibar-Pemba",-0.448032,0.0019904990047505,2021-09-28
"SCI Foundation","Zanzibar-Unguja",-1.269465,0.00748349625825187,2021-09-28
"SCI Foundation","Sudan",5.023242,0.0475924762037619,2021-09-28
"SCI Foundation","Niger",1.424192,0.00664099667950166,2021-09-28
"SCI Foundation","Mauritania",29.883351,0.003997998001001,2021-09-28
"SCI Foundation","Malawi",6.892292,0.0106894946552527,2021-09-28
"Sightsavers","Senegal",3.50918,0.136792136792137,2021-09-28
"Sightsavers","Chad",14.137862,0.568127568127568,2021-09-28
"Sightsavers","DRC",1.529353,0.0172360172360172,2021-09-28
"Sightsavers","West, Cameroon",11.722136,0.0157560157560158,2021-09-28
"Sightsavers","North, Cameroon",23.676872,0.0255870255870256,2021-09-28
"Sightsavers","Far-North, Cameroon",18.25795,0.0338690338690339,2021-09-28
"Sightsavers","East, Cameroon",9.200641,0.0236000236000236,2021-09-28
"Sightsavers","Adamoua, Cameroon",10.973535,0.0229180229180229,2021-09-28
"Sightsavers","Benue State",12.575205,0.0416140416140416,2021-09-28
"Sightsavers","Kebbi State",54.549555,0.0291190291190291,2021-09-28
"Sightsavers","Kogi State",9.580111,0.0256310256310256,2021-09-28
"Sightsavers","Kwara State",44.33427,0.0202270202270202,2021-09-28
"Sightsavers","Sokoto State",45.438275,0.0276330276330276,2021-09-28
"Sightsavers","Taraba State",1.857213,0.0118900118900119,2021-09-28
"Sightsavers","Yobe State",14.336565,0,2021-09-28
"Sightsavers","Guinea-Bissau",0.126057,0,2021-09-28
"Malaria Consortium","Burkina Faso",14.80969304,0.25,2021-09-28
"Malaria Consortium","Nigeria",10.08140391,0.25,2021-09-28
"Malaria Consortium","Togo",9.166821542,0.25,2021-09-28
"Malaria Consortium","Chad",6.42095679,0.25,2021-09-28
